Period,Property,Code,Region,Revenue,Operating Expenses,NOI,Budget NOI,NOI Variance,NOI Margin
2025-06-30,Sunset Villas,SV01,Southeast,440000.0,176000.0,264000.0,256310.68,7689.32,0.6
2025-06-30,Lakeside Residences,LR01,Southeast,360000.0,136800.0,223200.0,216699.03,6500.97,0.62
2025-06-30,Oakwood Apartments,OA01,Southwest,533000.0,197210.0,335790.0,326009.71,9780.29,0.63
2025-06-30,Pinecrest Flats,PF01,Southeast,390000.0,156000.0,234000.0,227184.47,6815.53,0.6
2025-07-31,Sunset Villas,SV01,Southeast,441760.0,176704.0,265056.0,257335.92,7720.08,0.6
2025-07-31,Lakeside Residences,LR01,Southeast,361440.0,137347.2,224092.8,217565.83,6526.97,0.62
2025-07-31,Oakwood Apartments,OA01,Southwest,535132.0,197998.84,337133.16,327313.75,9819.41,0.63
2025-07-31,Pinecrest Flats,PF01,Southeast,391560.0,156624.0,234936.0,228093.2,6842.8,0.6
2025-08-31,Sunset Villas,SV01,Southeast,443520.0,177408.0,266112.0,258361.17,7750.83,0.6
2025-08-31,Lakeside Residences,LR01,Southeast,362880.0,137894.4,224985.6,218432.62,6552.98,0.62
2025-08-31,Oakwood Apartments,OA01,Southwest,537264.0,198787.68,338476.32,328617.79,9858.53,0.63
2025-08-31,Pinecrest Flats,PF01,Southeast,393120.0,157248.0,235872.0,229001.94,6870.06,0.6
